REPAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total # Active Wells,83,,,"  270,486 ",Total # People Served,,,29,# of additional repairs made to the same wells,,,,,,0,# of repairs to wells NOT Ours,,,,,,,,,,,,,,"  270,486 "
,ORANGE = potential duplicate -- please review,,,,,,,,,(DD/MM/YYYY),(MM/DD/YYYY),,(MM/DD/YYYY),,,,,,,,,,,,,,,,,,
Well #,Village,Active?,New/Repair,NOT Ours?,#  Served,Latitude,Longitude,District,Region,TZ Repair Date,US Repair Date,Pump Mfg/Model,Last Oper. Date,Pump Type,Depth /Ft,Repair Description,Materials Used,Photos (Yes/No),Dedicated To,Dedicated By,Village Contact,Contact Tel #,H2O Leader,UTM East,UTM North,Total Costs (TSH),Total Costs (USD),Photos Sent to whom,Other Comments,,#  Unique People Served
xxxxx,Kyaka -- NO DATA SHEET,YES,Repair,1,"  1,780 ",1° 14' 5.36'' S,31° 29' 51.77'' E,Misenyi,Kagera,7/22/2025,7/22/2025,Indian Mark II,2mon.sNot Working,,,Service of Parts,No Material ,Yes,,,,,,,,,,,,,"  1,780 "
R59,Kyakalembe,YES,Repair,1,"  1,140 ","1 ° 12' 5.74"" s","31° 26' 16.56"" E",Misenyi,Kagera,17/10/2025,10/17/2025,Afridev,6 weeks not working,,,Service an Replacement of Materials,1 pc of Cylinder,Yes - 6 photos,,,,,,,,,,,,,"  1,140 "
R60,Kyangoye,YES,Repair,1,4000,"1040’48,2”S",31027’43.83”E,Bukoba Rural,Kagera,19/07/2024,7/19/2024,Tanira Pump,1 year not working,,,Service of parts and Flashing,1 pc cyl,No,,,,,,,,,,,,,"  4,000 "
R61,Kyarwebuga,YES,Repair,1,  500 ,1 ° 19' 33.94' s,"31 ° 48' 11.9"" E",Misenyi,Kagera,25/10/2025,10/25/2025,Tanira,2 years not working,,,Disconnection of Riser and Rod,no parts,Yes - 5 photos,,,,,,,,,,,,,  500 
R62,KYERWA,YES,Repair,1,"  3,277 ",10 24’23.40” S,300 45’40.47” E,Kyerwa,Kagera,6/12/2019,12/6/2019,Electric Pump,4 mo.s not working,Electric Pump,,Replacement of parts and Flashing ,"100 mtrs Submersible Cable, 57 mtrs poly pipe, 1 motor",No photos,,,,,,,,,,,,,"  3,277 "
R63,KYERWA,PRIOR,Repair,1,"  3,890 ",1019ʹ44.36ʺS,30042ʹ40.35ʺE,Kyerwa,Kagera,11/8/2020,8/11/2020,Indian Mark II,24 mo.s not working,,,Replacement of parts and Flashing ,"1pcs riser , 1pcs rod, 1pc Chain",No photos,,,,,,,,,,,,,"  3,890 "
R64,MAGU,YES,Repair,1,"  3,280 ",20 36’27.40” S,330 25’46.40” E,Magu,Mwanza,11/9/2020,9/11/2020,Indian Mark II,3 mo.s not working,,,Replacement of parts and Flashing,"2pcs riser, 2pcs rod, 1pc chain",No photos,,,,,,,,,,,,,"  3,280 "
R65,Mbyamutemba,YES,Repair,1,4000,?,?,Misenyi,Kagera,23/04/2024,4/23/2024,Indian Mark II,2 weeks not working,,,Replacement of parts and Flashing ,"6 pcs riser, 4 pcs rods",No,,,,,,,,,,,,,"  4,000 "
R66,Mbyamutemba ,PRIOR,Repair,1,"  2,900 ","1 ° 6' 24.98"" S","31° 22' 14.8"" E",Misenyi,Kagera,12/5/2025,5/12/2025,Tanira,2 days not working,,,Service of parts-Rod loose-reconnect,no parts,Yes - 4 photos,,,,,,,,,,,,,"  2,900 "
R67,Minzro,YES,Repair,1,3500,?,?,Misenyi,Kagera,11/10/2024,10/11/2024,Tanira,5 years not working,,,Replacement of parts and Flashing ,"2 pcs riser, 2 pcs rods",No,,,,,,,,,,,,,"  3,500 "
